name_zh_CN,name_ja_JP,name_en_US,player_family,native_roles,viable_classes_for_single_requirement,enabled_playthroughs_union,candidate_keys,candidate_rows,costs,candidate_count,family_rule
血烟阿银,血煙お銀,Blood-Spurting Ogin,A,4,0,1;2;3;4;5,0x0004CC1C,439,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
近藤勇,近藤勇,Kondo Isami,A,4,0,1;2;3;4;5,0x0001F6E5,415,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
那须与一,那須与一,Nasu no Yoichi,A,4,0,1;2;3;4;5,0x00039B5F,408,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
风魔小太郎,風魔小太郎,Fuma Kotaro,A,4,0,1;2;3;4;5,0x000C9D7F,397,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
高坂昌信,高坂昌信,Kosaka Masanobu,A,4,0,1;2;3;4;5,0x000431DA,411,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
高岛秋帆,高島秋帆,Takashima Shuhan,A,4,0,1;2;3;4;5,0x000801A9,403,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
高桥泥舟,高橋泥舟,Takahashi Deishu,A,4,0,1;2;3;4;5,0x000E80BD,409,4,1,"Structurally available only to class 0. It cannot coexist with an O requirement in the normal generator. Class 0 has at most three entries and reserves one entry for B, so at most two A-only requirements fit."
两面宿傩,両面宿儺,Ryomen Sukuna,B,5,0;1,1;2;3;4;5,0x0006E1BC,465,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
傲岸鬼,傲岸鬼,Demon of Pride,B,5,0;1,1;2;3;4;5,0x000C5F3E,454,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
冒疾鬼,冒疾鬼,Demon of Envy,B,5,0;1,1;2;3;4;5,0x000BB028,455,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
冲田总司,沖田総司,Okita Soji,B,5,0;1,1;2;3;4;5,0x000D9195,393,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
大天狗,大天狗,Great Tengu,B,5,0;1,1;2;3;4;5,0x00041DB6,446,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
大蛤蟆,大蝦蟇,Giant Toad,B,5,0;1,1;2;3;4;5,0x00033773,470,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
女郎蜘蛛,女郎蜘蛛,Joro-gumo,B,5,0;1,1;2;3;4;5,0x00017AD0,466,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
山县昌景,山県昌景,Yamagata Masakage,B,5,0;1,1;2;3;4;5,0x0004B03B;0x00092063,390;444,4,2,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
德川国松,徳川国松,Tokugawa Kunimatsu,B,5,0;1,1;2;3;4;5,0x000F1A7F,394,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
德川庆喜,徳川慶喜,Tokugawa Yoshinobu,B,5,0;1,1;2;3;4;5,0x00041A50,451,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
怨灵鬼,怨霊鬼,Onryoki,B,5,0;1,1;2;3;4;5,0x00040A3B,469,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
惧鬼,おとろし,Otoroshi,B,5,0;1,1;2;3;4;5,0x0005AAF9,448,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
执心鬼,執心鬼,Demon of Obsession,B,5,0;1,1;2;3;4;5,0x0007C995,456,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
斋藤福,斎藤福,Saito Fuku,B,5,0;1,1;2;3;4;5,0x000A3F52,420,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
服部半藏,服部半蔵,Hattori Hanzo,B,5,0;1,1;2;3;4;5,0x000202A7;0x000D35E1,419;422,4,2,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
本多忠胜,本多忠勝,Honda Tadakatsu,B,5,0;1,1;2;3;4;5,0x000F0361,421,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
柳生十兵卫,柳生十兵衛,Yagyu Jubei,B,5,0;1,1;2;3;4;5,0x00064B4D,396,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
柳生宗矩,柳生宗矩,Yagyu Munenori,B,5,0;1,1;2;3;4;5,0x000BD9D5,418,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
梶原景时,梶原景時,Kajiwara Kagetoki,B,5,0;1,1;2;3;4;5,0x000B0DAA,391,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
武田信玄,武田信玄,Takeda Shingen,B,5,0;1,1;2;3;4;5,0x0000A5D2;0x00071ED1,389;445,4,2,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
比留呼,比留呼,Hiruko,B,5,0;1,1;2;3;4;5,0x0004ACDF;0x00093F79;0x000B605B,395;452;453,4,3,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
涂佛,塗仏,Nuribotoke,B,5,0;1,1;2;3;4;5,0x0005FEA7,450,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
源赖朝,源頼朝,Minamoto no Yoritomo,B,5,0;1,1;2;3;4;5,0x00003EE6,447,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
火车,火車,Kasha,B,5,0;1,1;2;3;4;5,0x000CA888,467,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
烟烟罗,煙々羅,Enenra,B,5,0;1,1;2;3;4;5,0x000774DF,464,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
牛头鬼,牛頭鬼,Gozuki,B,5,0;1,1;2;3;4;5,0x000A263C,461,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
由井正雪,由井正雪,Yui Shosetsu,B,5,0;1,3;4;5,0x00068AF1,458,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
茨木童子,茨木童子,Ibaraki Doji,B,5,0;1,1;2;3;4;5,0x000DA5FE,449,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
草薙,草薙,Kusanagi,B,5,0;1,1;2;3;4;5,0x000A0477,457,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
蛇骨婆,蛇骨婆,Jakotsu-baba,B,5,0;1,1;2;3;4;5,0x000E7450,442,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
血刀修罗,血刀修羅,Bloodedge Demon,B,5,0;1,1;2;3;4;5,0x00003921,486,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
镰鼬,鎌鼬,Kamaitachi,B,5,0;1,1;2;3;4;5,0x000C76B4,462,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
阴摩罗鬼,陰摩羅鬼,Onmoraki,B,5,0;1,1;2;3;4;5,0x000C327F,468,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
飞缘魔,飛縁魔,Hino-enma,B,5,0;1,1;2;3;4;5,0x000147F1,463,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
马场信春,馬場信春,Baba Nobuharu,B,5,0;1,1;2;3;4;5,0x00075E4F,443,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
马头鬼,馬頭鬼,Mezuki,B,5,0;1,1;2;3;4;5,0x000782F6,460,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
高杉晋作,高杉晋作,Takasugi Shinsaku,B,5,0;1,1;2;3;4;5,0x000BE2C7,392,4,1,"Available to class 0, or to the single highest-group B position in class 1. It can coexist with O only when at most one requested enemy is assigned to B."
金井半兵卫,金井半兵衛,Kanai Hanbei,A/B,4;5,0;1,1;2;3;4;5,0x0000F9CA;0x000179F7,426;459,4,2,This display name has distinct native candidates in both dedicated pools. Treat it as A in class 0 or as the one B requirement in class 1.
